동,라인,동라인,호,타입,최하층,최고층,라인당세대,방향
101,4,101,1,61A,3,24,22,남동
102,3,101,2,61B,3,24,22,남동
103,3,101,3,61A,3,23,21,남서
104,4,101,4,61A,3,23,21,남서
105,4,102,1,61A,3,21,19,남서
106,3,102,2,61B,3,21,19,남동
107,4,102,3,61A,3,17,15,남서
,,103,1,61A,1,19,19,남동
,,103,2,61B,1,19,19,남동
,,103,3,61A,1,17,17,남서
,,104,1,61A,1,22,22,남동
,,104,2,61B,1,17,17,남동
,,104,3,61A,1,22,22,남서
,,104,4,61C,1,22,22,남서
,,105,1,61A,2,19,18,남동
,,105,2,61A,2,19,18,남동
,,105,3,61B,2,19,18,남서
,,105,4,61A,2,19,18,남서
,,106,1,78B,2,26,25,동
,,106,2,78B,2,26,25,남
,,106,3,78A,2,26,25,남
,,107,1,78A,2,25,24,동
,,107,2,78B,2,22,21,남
,,107,3,78A,2,26,25,남
,,107,4,78A,2,26,25,남
