동,라인,동,호,타입,최하층,최고층,라인당세대,방향
101,5,101,1,84A,1,33,33,남동
102,5,101,2,84B,1,33,33,남서
103,5,101,3,84A,2,33,32,남서
104,4,101,4,84A,2,33,32,남서
105,5,101,5,84A,2,33,32,남서
106,5,102,1,99A,1,27,27,남동
107,2,102,2,84B,1,28,28,남서
108,2,102,3,84A,2,28,27,남서
109,2,102,4,84A,2,28,27,남서
,,102,5,84A,1,27,27,남서
,,103,1,99A,1,22,22,남동
,,103,2,84B,1,23,23,남서
,,103,3,84A,2,23,22,남서
,,103,4,84A,2,18,17,남서
,,103,5,84A,1,16,16,남서
,,104,1,99A,1,31,31,남동
,,104,2,99B,2,31,30,남서
,,104,3,84A,1,22,22,남서
,,104,4,84A,1,21,21,남서
,,105,1,99A,2,32,31,남동
,,105,2,84B,3,32,30,남서
,,105,3,84A,2,32,31,남서
,,105,4,84A,1,28,28,남서
,,105,5,84A,1,27,27,남서
,,106,1,84A,1,33,33,남동
,,106,2,84B,3,33,31,남서
,,106,3,84A,2,33,32,남서
,,106,4,84A,2,33,32,남서
,,106,5,84A,2,33,32,남서
,,107,1,84T,1,2,2,남서
,,107,2,84T,1,2,2,남서
,,108,1,84T,1,2,2,남서
,,108,2,84T,1,2,2,남서
,,109,1,84T,1,2,2,남서
,,109,2,84T,1,2,2,남서
