ID,Title,Published At,Thumbnail URL,View Count,Like Count,Comment Count,Popularity Score,Keywords,Hashtags
axM8QKv6OUM,아산탕정 동일 하이빌 파크레인 모델하우스 방문 안내 010 3341 5564#탕정 동일아파트#아산탕정 아파트# 천안 아산 아파트#탕정 동일아파트,2025-11-04T13:46:13Z,https://i.ytimg.com/vi/axM8QKv6OUM/mqdefault.jpg,62834,9,1,65.13,,
5hwTiewRCo8,아산탕정 동일하이빌 파크레인 아산 대박현장 1억 저렴한 삼성 배후 마지막 분양부지 최고경쟁률 141:1 마감임박 모델하우스,2025-11-15T07:48:02Z,https://i.ytimg.com/vi/5hwTiewRCo8/mqdefault.jpg,12159,0,0,11.61,,"아산탕정동일하이빌파크레인, 아산탕정, 아산아파트"
TK4b9xqwWzw,아산 탕정 동일하이빌 파크레인 25년 8월 29일 오픈 예정 초품아 대단지 분양 임박!,2025-08-06T06:35:46Z,https://i.ytimg.com/vi/TK4b9xqwWzw/mqdefault.jpg,3287,14,1,10.76,,"천안부동산, 아산부동산, 천안분양권, 아산분양권, 탕정분양권, 탕정동일하이빌파크레인, 천안아산아파트, 천안아산분양권, 탕정동일하이빌청약, 탕정초품아, 동일하이빌엠지엠, 부동산엠지엠"
k5ETLDQV5vk,아산탕정 동일하이빌 선착순분양 중. 동호수 선택 도와드릴게요  #미스터홈즈 #동일하이빌 #파크레인 #미분양아파트,2025-11-14T06:59:30Z,https://i.ytimg.com/vi/k5ETLDQV5vk/mqdefault.jpg,2022,17,0,10.43,,
37MJsz6L7pk,아산 탕정 동일하이빌 파크레인 모델하우스 곧오픈!!,2025-09-25T08:12:20Z,https://i.ytimg.com/vi/37MJsz6L7pk/mqdefault.jpg,2219,12,1,8.74,,"천안부동산, 아산부동산, 천안분양권, 아산분양권, 탕정분양권, 탕정동일하이빌파크레인, 천안아산아파트, 천안아산분양권, 탕정동일하이빌청약, 탕정초품아, 동일하이빌엠지엠, 부동산엠지엠"
Ot14ZN0uvnc,아산탕정 동일하이빌 파크레인 84㎡A타입｜모델하우스 VR투어  #아산탕정동일하이빌 #아산신축분양 #아산탕정신도시,2025-09-29T22:24:00Z,https://i.ytimg.com/vi/Ot14ZN0uvnc/mqdefault.jpg,1461,9,1,6.52,"아산탕정동일하이빌파크레인, 동일하이빌파크레인, 아산탕정아파트, 아산신축아파트, 천안아산신축아파트, 천안아산내집마련, 아산분양, 천안아산분양, 신축아파트, 84타입, 84A타입, 모델하우스, 모델하우스VR, VR투어, 아파트투어, 분양정보, 분양아파트, 내집마련, 천안아산생활권, 신도시아파트, 탕정역세권, 교통편리한아파트, 신혼부부추천아파트, 실속형아파트, 아산탕정신축, 아산아파트투어, 아산아파트추천, 아산탕정84타입, 천안아산부동산, 천안아산분양정보, 내집마련부동산TV","아산탕정동일하이빌파크레인, 천안아산분양, 모델하우스, 신축아파트, 84타입"
akqGyDmEnUE,[속보] 아산탕정 동일하이빌 파크레인 1순위 청약 경쟁률 결과 나왔다 + 특별공급 경쟁률 + 분양 가격 + 아산 아파트 + 아산 부동산,2025-09-30T12:31:39Z,https://i.ytimg.com/vi/akqGyDmEnUE/mqdefault.jpg,827,11,0,6.29,"아산탕정 동일하이빌 파크레인 1순위 경쟁률, 아산탕정 동일하이빌 파크레인, 아산아파트, 아산부동산","아산탕정동일하이빌파크레인, 1순위경쟁률, 아산아파트"
Ly5mE8zzl60,아산탕정 동일하이빌 파크레인 99㎡A｜ VR투어  #아산탕정동일하이빌파크레인 #아파트분양 #아파트,2025-09-30T20:35:35Z,https://i.ytimg.com/vi/Ly5mE8zzl60/mqdefault.jpg,1071,8,1,5.65,"아산탕정동일하이빌파크레인, 99A타입, 아산신축아파트분양, 천안아산신축분양, 부동산투자, 모델하우스VR투어, 신축아파트VR투어, 아산아파트분양, 내집마련, 아산부동산, 천안아산부동산정보, 아산신도시아파트, 천안아산아파트투자, 천안아산모델하우스, 아산탕정분양소식, 천안아산분양정보, 아산탕정신축아파트, 천안아산신축추천, 아산탕정99A타입, 아산탕정VR투어, 천안아산신축아파트투자, 탕정역세권아파트, 천안아산99타입, 아산탕정아파트추천, 아산탕정부동산, 천안아산분양소식, 천안아산신축아파트분양, 아산탕정내집마련, 아산탕정모델하우스, 천안아산신축","아산탕정동일하이빌파크레인, 아파트대형타입, 아산신축아파트분양, 천안아산신축분양, 부동산투자, 탕정신도시, 신축아파트, 아산아파트분양, 내집마련"
SPsoXuHZCSE,아산 탕정 동일하이빌 파크레인 모델하우스 분양가 입지 미리보기,2025-11-20T12:06:44Z,https://i.ytimg.com/vi/SPsoXuHZCSE/mqdefault.jpg,115,11,0,5.61,"부동산, 아파트, 미분양, 재테크, 아산탕정동일하이빌, 아산탕정동일하이빌모델하우스, 탕정동일하이빌, 아산아파트, 탕정아파트, 아산미분양, 아산미분양아파트, 탕정미분양, 탕정미분양아파트, 천안아산아파트, 아산아파트분양","아카이브, 부동산, 아산탕정동일하이빌, 아산탕정동일하이빌파크레인, 아산아파트"
HPN4VLU_-Q0,아산탕정 동일하이빌 파크레인 선착순 줍줍 탕정 마지막 초품아 아파트 분양,2025-11-14T09:38:40Z,https://i.ytimg.com/vi/HPN4VLU_-Q0/mqdefault.jpg,5796,0,0,5.53,,
5ZGyriN_0Jc,[탕정 분양권] 아산 탕정 동일하이빌 파크레인 현장 드론영상(25년 9월 21일),2025-09-21T04:13:00Z,https://i.ytimg.com/vi/5ZGyriN_0Jc/mqdefault.jpg,948,9,0,5.41,"부동산, 아파트, 분양권, 현장모습","아산탕정동일하이빌, 탕정동일하이빌, 동일하이빌, 탕정, 아산탕정더샵인피니티시티, 아산탕정자이, 탕정더샵, 동산센트럴시티, 아산자이, 탕정자이1차, 탕정자이2차, 탕정더샵, 탕정푸르지오리버파크, 탕정분양, 탕정분양권"
SVZNDb8RAGc,아산 탕정 선착순분양 - 동일하이빌 파크레인 동호수 선택. 84타입 5억전후,2025-11-15T01:06:18Z,https://i.ytimg.com/vi/SVZNDb8RAGc/mqdefault.jpg,235,9,0,4.72,"천안아파트, 동일하이빌, 파크레인, 무순위청약, 아산아파트, 아산탕정",
ziXJq2APjxQ,"탕정 동일하이빌 파크레인🌿 분양가,타입,위치 그리고 키가 큰 엄지",2025-09-17T10:34:44Z,https://i.ytimg.com/vi/ziXJq2APjxQ/mqdefault.jpg,4926,0,0,4.7,,
3tHLHA2Vn_s,"🏡 아산탕정 동일하이빌 파크레인 🔥선착 계약 본격 시‼️“지금 즉시 계약 가능, 빠르게 소진 중”아산 최고의 인기 단지 스케치 🎥",2025-11-08T12:58:27Z,https://i.ytimg.com/vi/3tHLHA2Vn_s/mqdefault.jpg,442,5,2,4.17,,"아산탕정동일하이빌파크레인, 탕정역세권, 아산분양, 삼성디스플레이, 탕정신축, 직주근접아파트, 선착순분양, 아산신축아파트, 모델하우스위치, 홍보관, 아산부동산, 마감임박"
v1e4Jo-eYXU,탕정동일하이빌 파크레인🌿 99타입을 밀어주는 중...🤔,2025-09-26T12:59:14Z,https://i.ytimg.com/vi/v1e4Jo-eYXU/mqdefault.jpg,4213,0,0,4.02,,
