옵션구분,타입,전체기본,대수,설치내역,공급금액, 공급업체,구분품명
시스템 에어컨,84A,2대,거실+침실1(안방),,4400000,, | 거실+침실1(안방) |  | 4400000
시스템 에어컨,84A,4대,거실+침실1(안방)+침실2+침실3,,7250000,, | 거실+침실1(안방)+침실2+침실3 |  | 7250000
시스템 에어컨,84B,2대,거실+침실1(안방),,4100000,, | 거실+침실1(안방) |  | 4100000
시스템 에어컨,84B,3대,거실+주방+침실1(안방),,5180000,, | 거실+주방+침실1(안방) |  | 5180000
시스템 에어컨,84B,4대,거실+침실1(안방)+침실2+침실3,,7000000,, | 거실+침실1(안방)+침실2+침실3 |  | 7000000
시스템 에어컨,84B,5대,거실+침실1(안방)+주방+침실2+침실3,,8940000,, | 거실+침실1(안방)+주방+침실2+침실3 |  | 8940000
시스템 에어컨,84T,2대,거실+침실1(안방),,4400000,, | 거실+침실1(안방) |  | 4400000
시스템 에어컨,84T,4대,거실+침실1(안방)+침실2+침실3,,7250000,, | 거실+침실1(안방)+침실2+침실3 |  | 7250000
시스템 에어컨,99A,3대,거실+주방+침실1(안방),,5660000,, | 거실+주방+침실1(안방) |  | 5660000
시스템 에어컨,99A,4대,거실+주방+침실1(안방)+침실4(멀티룸),,7860000,, | 거실+주방+침실1(안방)+침실4(멀티룸) |  | 7860000
시스템 에어컨,99A,6대,거실+주방+침실1(안방)+침실4(멀티룸)+침실2+침실3,,10560000,, | 거실+주방+침실1(안방)+침실4(멀티룸)+침실2+침실3 |  | 10560000
시스템 에어컨,99B,3대,거실+주방+침실1(안방),,5460000,, | 거실+주방+침실1(안방) |  | 5460000
시스템 에어컨,99B,4대,거실+주방+침실1(안방)+침실4(멀티룸),,7480000,, | 거실+주방+침실1(안방)+침실4(멀티룸) |  | 7480000
시스템 에어컨,99B,6대,거실+주방+침실1(안방)+침실4(멀티룸)+침실2+침실3,,10180000,, | 거실+주방+침실1(안방)+침실4(멀티룸)+침실2+침실3 |  | 10180000
시스템 에어컨,150P,3대,거실+주방+침실1(안방),,5730000,, | 거실+주방+침실1(안방) |  | 5730000
시스템 에어컨,150P,7대,거실+주방+침실1(안방)+보조거실+침실2+침실3+침실4,,11680000,, | 거실+주방+침실1(안방)+보조거실+침실2+침실3+침실4 |  | 11680000
시스템 에어컨,152P,3대,거실+주방+침실1(안방),,5730000,, | 거실+주방+침실1(안방) |  | 5730000
시스템 에어컨,152P,7대,거실+주방+침실1(안방)+보조거실+침실2+침실3+침실4,,11680000,, | 거실+주방+침실1(안방)+보조거실+침실2+침실3+침실4 |  | 11680000
가전 및 설비,84A,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
가전 및 설비,84B,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
가전 및 설비,84T,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
가전 및 설비,99A,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
가전 및 설비,99B,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
가전 및 설비,150P,전기쿡탑(인덕션하이브리드3구),파세코 PEC-BIH3471S,,390000,, | 파세코 PEC-BIH3471S |  | 390000
